variable_code,variable_label,variable_type,preselected
RECTYPE,Record type,H,False
YEAR,Census year ,H,True
MULTYEAR,"Actual year of survey, multi-year ACS/PRCS ",H,True
SAMPLE,IPUMS sample identifier ,H,True
SERIAL,Household serial number ,H,True
CBSERIAL,Original Census Bureau household serial number ,H,True
NUMPREC,Number of person records following,H,False
SUBSAMP,Subsample number,H,False
HHWT,Household weight ,H,True
EXPWTH,Experimental housing unit weight,H,False
NUMPERHH,Number of persons in household,H,False
HHTYPE,Household Type,H,False
CBHHTYPE,Census bureau household type (with cohabiting),H,False
DWELLING,Dwelling serial number,H,False
DWSEQ,Household sequence within dwelling,H,False
DWSIZE,Dwelling size,H,False
NUMHH,Number of households in dwelling,H,False
NUMHHTAK,Number of households sampled from dwelling,H,False
SLPERNUM,Sample-line person number,H,False
SELFWTHH,Self-weighting sample identifier,H,False
REPWT,Household replicate weights [80 variables]  [multiple variables],H,False
CLUSTER,Household cluster for variance estimation ,H,True
ADJUST,"Adjustment factor, ACS/PRCS",H,False
CPI99,CPI-U adjustment factor to 1999 dollars,H,False
STRATA,Household strata for variance estimation ,H,True
RESPMODE,Response mode,H,False
REGION,Census region and division,H,False
STATEICP,State (ICPSR code),H,False
STATEFIP,State (FIPS code),H,False
COUNTYICP,County (ICPSR code),H,False
COUNTYFIP,County (FIPS code),H,False
COUNTYNHG,County (NHGIS code),H,False
PLACENHG,Incorporated place (NHGIS code),H,False
URBAN,Urban/rural status,H,False
DENSITY,Population-weighted density of PUMA,H,False
METRO,Metropolitan status,H,False
METAREA,Metropolitan area,H,False
MET2013,Metropolitan area (2013 OMB delineations),H,False
MET2013ERR,Coverage error in MET2013 variable,H,False
METPOP00,Average 2000 population of 2003 metro/micro areas in PUMA,H,False
METPOP10,Average 2010 population of 2013 metro/micro areas in PUMA,H,False
PCTMETRO,Percent of 2010 PUMA population living in metro area,H,False
CITY,City,H,False
CITYERR,Coverage error in CITY variable,H,False
CITYPOP,City population,H,False
SIZEPL,Size of place,H,False
NENGPOP,New England population in minor civil division,H,False
URBPOP,Population of urban places,H,False
CNTYGP97,"County group, 1970",H,False
CNTYGP98,"County group, 1980",H,False
PUMA,Public Use Microdata Area,H,False
PUMAMINI,"Mini-PUMA (50,000+ residents)",H,False
PUMASUPR,Super Public Use Microdata Area,H,False
CONSPUMA,"Consistent PUMA, 1980-1990-2000",H,False
CPUMA0010,"Consistent PUMA, 2000-2010",H,False
APPAL,Appalachian region,H,False
HOMELAND,"American Indian, Alaska Native, or Native Hawaiian homeland area",H,False
SEA,State Economic Area,H,False
LMA,Labor Market Area,H,False
COMZONE,Commuting Zone within Labor Market Area,H,False
MDSTATUS,Metropolitan district status,H,False
METDIST,Metropolitan district,H,False
CITYMETD,Central city of metropolitan district,H,False
URBAREA,Urbanized area,H,False
WARD,Ward,H,False
PUMATYPE,PUMA type,H,False
PUMATY00,"PUMA type, 2000",H,False
PUMALAND,PUMA land area,H,False
PUMAAREA,PUMA total area,H,False
URBTYPE,Urbanized area type,H,False
URBSIZE,Size of urbanized area,H,False
URBRURAL,Detailed Urban/Rural Classification,H,False
URBFRYN,Urban Fringe,H,False
OTHURBYN,Urbanized Area,H,False
RURALYN,Size of Nonmetropolitan Place,H,False
